subject,month,speaker_category,classifier,annotation
29,06,male_correct,MAN,FAT
29,06,male_correct,MAF,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAF,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAN,FAT
29,06,male_correct,MAF,FAT
29,06,male_correct,MAF,FAT
29,06,male_correct,MAN,FAT
29,06,male_incorrect,SIL,FAT
29,06,male_incorrect,OLF,FAT
29,06,male_incorrect,OLN,FAT
29,06,male_incorrect,FAN,FAT
29,06,male_incorrect,OLF,FAT
29,06,male_incorrect,FAN,FAT
29,06,male_incorrect,NOF,FAT
29,06,male_incorrect,OLN,FAT
29,06,male_incorrect,OLN,FAT
29,06,male_incorrect,OLN,FAT
29,06,male_incorrect,FAN,FAT
29,06,male_incorrect,OLN,FAT
29,06,male_incorrect,OLF,FAT
29,06,male_incorrect,FAF,FAT
29,06,male_incorrect,FAN,FAT
29,06,male_incorrect,OLN,FAT
29,06,male_incorrect,OLN,FAT
